City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,badger,64.8,-147.5333,287.08,90,75,1.54,US,1693453713
221,xilin hot,43.9667,116.0333,295.71,28,25,4.6,CN,1693453713
222,jalai nur,49.45,117.7,297.4,32,87,5.41,CN,1693453713
223,yurimaguas,-5.9,-76.0833,298.27,66,93,0.25,PE,1693453714
224,remire-montjoly,4.9167,-52.2667,298.17,100,0,0.0,GF,1693453714
225,happy valley-goose bay,53.3168,-60.3315,281.32,93,100,7.2,CA,1693453716
226,siroki brijeg,43.3833,17.5928,289.66,89,86,0.66,BA,1693453716
227,oxapampa,-10.5775,-75.4017,289.72,91,98,0.88,PE,1693453716
228,longyearbyen,78.2186,15.6401,280.06,87,75,4.12,SJ,1693453716
229,ghadamis,30.1337,9.5007,302.66,35,97,4.94,LY,1693453717
230,altamira,-3.2033,-52.2064,300.35,51,70,1.47,BR,1693453509
231,leava,-14.3,-178.1667,300.44,81,49,9.3,WF,1693453717
232,antonio enes,-16.2325,39.9086,294.08,89,36,2.82,MZ,1693453718
233,sola,-13.8833,167.55,299.64,79,17,2.86,VU,1693453718
234,paungde,18.4833,95.5,303.04,71,60,4.43,MM,1693453718
235,swakopmund,-22.6833,14.5333,285.92,89,7,1.34,NA,1693453719
236,visby,57.6409,18.296,288.27,88,75,4.12,SE,1693453719
237,wynyard,-41.0,145.7167,285.41,74,22,6.88,AU,1693453719
238,susuman,62.7833,148.1667,290.21,59,100,10.33,RU,1693453719
239,mezhdurechenskiy,59.6,65.9333,287.3,91,94,4.9,RU,1693453720
240,tabou,4.423,-7.3528,297.4,87,100,2.84,CI,1693453720
241,vilyuchinsk,52.9306,158.4028,297.3,59,84,5.05,RU,1693453720
242,uturoa,-16.7333,-151.4333,297.46,71,98,6.47,PF,1693453721
243,fale old settlement,-9.3852,-171.2468,301.8,75,42,5.57,TK,1693453721
244,dikhil,11.5,42.1667,302.15,51,18,1.72,DJ,1693453721
245,punta cardon,11.6581,-70.215,301.95,77,60,12.3,VE,1693453721
246,nova sintra,14.8667,-24.7167,296.48,83,100,3.35,CV,1693453722
247,cidreira,-30.1811,-50.2056,288.51,95,2,4.46,BR,1693453501
248,deqen,29.9618,90.7188,291.79,46,15,0.76,CN,1693453722
249,staryy oskol,51.2967,37.8417,290.41,52,3,1.4,RU,1693453722
250,puerto ayacucho,5.6639,-67.6236,297.0,90,100,1.49,VE,1693453723
251,veydelevka,50.1521,38.4492,290.08,34,2,2.17,RU,1693453723
252,bardai,11.65,7.2333,294.13,96,99,3.52,NG,1693453723
253,novyy urengoy,66.0833,76.6333,284.82,56,41,4.74,RU,1693453723
254,cadale,2.7603,46.3222,298.4,81,100,7.25,SO,1693453724
255,bei'an,24.5399,109.533,301.56,64,24,5.81,CN,1693453724
256,dudinka,69.4058,86.1778,280.72,49,14,7.46,RU,1693453724
257,gereida,11.2811,25.1414,295.15,91,100,2.88,SD,1693453724
258,awjilah,29.1081,21.2869,298.04,60,5,4.43,LY,1693453725
259,ta`u,-14.2336,-169.5144,299.84,81,95,11.15,AS,1693453725
260,praia,14.9215,-23.5087,299.45,89,75,2.57,CV,1693453725
261,strezhevoy,60.7333,77.5889,291.76,60,99,6.4,RU,1693453725
262,dexter,36.7959,-89.9579,294.0,62,0,3.6,US,1693453524
263,kindu,-2.95,25.95,294.19,78,3,1.03,CD,1693453726
264,puerto leguizamo,-0.1934,-74.7819,297.14,80,96,0.61,CO,1693453726
265,pitimbu,-7.4706,-34.8086,297.48,84,24,4.85,BR,1693453726
266,palmer,42.1584,-72.3287,292.51,72,40,1.54,US,1693453726
267,camocim,-2.9022,-40.8411,297.09,87,0,5.04,BR,1693453727
268,lashio,22.9333,97.75,298.9,80,97,0.79,MM,1693453727
269,tazovsky,67.4667,78.7,281.59,57,48,3.35,RU,1693453727
270,bordighera,43.7806,7.6645,294.28,70,100,1.34,IT,1693453727
271,motozintla,15.3667,-92.2333,291.64,92,100,0.96,MX,1693453727
